Image Filename,Generated Caption
Age_An_adult_attending_a_yoga_class_in_a_studio__img1.png,yoga class in a large room with a wooden floor
Age_An_adult_attending_a_yoga_class_in_a_studio__img2.png,yoga class in a large room with a large window
Age_An_adult_attending_a_yoga_class_in_a_studio__img3.png,yoga class in a large room with a mirror and a woman doing a yoga pose
Age_An_adult_attending_a_yoga_class_in_a_studio__img4.png,woman sitting in a yoga pose on a blue mat
Age_An_adult_attending_a_yoga_class_in_a_studio__img5.png,yoga class in a large room with a woman in a yoga pose
Age_An_adult_attending_a_yoga_class_in_a_studio__img6.png,woman sitting in a yoga pose on a purple mat
Age_An_adult_attending_a_yoga_class_in_a_studio__img7.png,yoga class in a gym with a woman standing on one leg
Age_An_adult_jogging_along_a_quiet_road__img1.png,there is a man that is running down the street
Age_An_adult_jogging_along_a_quiet_road__img2.png,arafed man running on a road in the middle of a forest
Age_An_adult_jogging_along_a_quiet_road__img3.png,woman running on a path in a park with trees in the background
Age_An_adult_jogging_along_a_quiet_road__img4.png,arafed man running on a path in a blue shirt
Age_An_adult_jogging_along_a_quiet_road__img5.png,there is a woman running down a path in the middle of the day
Age_An_adult_jogging_along_a_quiet_road__img6.png,woman running on a paved road in a pink shirt
Age_An_adult_jogging_along_a_quiet_road__img7.png,there is a woman running on a road with trees in the background
Age_An_adult_playing_with_their_pet_in_a_park__img1.png,woman petting a cat in a park with a green grass field
Age_An_adult_playing_with_their_pet_in_a_park__img2.png,araffe sitting on the grass with a dog in his lap
Age_An_adult_playing_with_their_pet_in_a_park__img3.png,there is a man kneeling down petting a dog with a leash
Age_An_adult_playing_with_their_pet_in_a_park__img4.png,there is a man kneeling down with a dog in a park
Age_An_adult_playing_with_their_pet_in_a_park__img5.png,there is a woman playing with a cat in the grass
Age_An_adult_playing_with_their_pet_in_a_park__img6.png,araffes man with a dog in a park
Age_An_adult_playing_with_their_pet_in_a_park__img7.png,woman playing with a dog in a park with a leash
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img1.png,arafed man sitting at a table with a laptop and a cup of coffee
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img2.png,there is a man sitting at a table with a laptop
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img3.png,there is a man sitting at a table with a laptop and a cup of coffee
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img4.png,woman sitting at a table with a laptop computer in her lap
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img5.png,there is a man sitting at a table with a laptop computer
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img6.png,there is a man sitting at a table with a laptop and a cup of coffee
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img7.png,there is a man sitting at a table using a laptop
Age_An_elderly_couple_watching_a_sunset_from_their_por_img1.png,older couple sitting on bench looking out window at golf course
Age_An_elderly_couple_watching_a_sunset_from_their_por_img2.png,elderly couple sitting on porch with view of grassy field
Age_An_elderly_couple_watching_a_sunset_from_their_por_img3.png,they are sitting on the porch of their house watching the sunset
Age_An_elderly_couple_watching_a_sunset_from_their_por_img4.png,older couple sitting on a deck watching the sunset
Age_An_elderly_couple_watching_a_sunset_from_their_por_img5.png,there are two older people standing on a porch with a view of a field
Age_An_elderly_couple_watching_a_sunset_from_their_por_img6.png,older couple standing on a porch looking out over a green field
Age_An_elderly_couple_watching_a_sunset_from_their_por_img7.png,older couple sitting on a bench with a drink and a glass of orange juice
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img1.png,smiling elderly woman sitting on a couch with her laptop
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img2.png,an old woman sitting on a couch with a blue shirt
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img3.png,smiling elderly woman sitting on a couch with a remote control
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img4.png,smiling elderly woman sitting in a blue chair with a blue blanket
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img5.png,elderly woman sitting in chair in living room with open window
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img6.png,smiling elderly woman sitting in a chair with a yellow chair
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img7.png,an old woman sitting on a couch with her hands crossed
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img1.png,elderly woman reading newspaper sitting on ledge outside window sill
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img2.png,an old man sitting in a chair reading a newspaper
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img3.png,an old man sitting on a chair reading a newspaper
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img4.png,elderly woman reading a newspaper on a porch chair
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img5.png,elderly woman reading a newspaper outside of a brick building
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img6.png,araffe man reading a newspaper while sitting on a porch
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img7.png,an old man sitting on a wooden chair reading a newspaper
Age_An_elderly_person_watching_birds_from_their_window_img1.png,older woman with white hair and blue sweater looking out of a doorway
Age_An_elderly_person_watching_birds_from_their_window_img2.png,there is a woman that is looking out of a window
Age_An_elderly_person_watching_birds_from_their_window_img3.png,there is a man looking out of a window at a bird
Age_An_elderly_person_watching_birds_from_their_window_img4.png,elderly woman looking out of window at rain coming in
Age_An_elderly_person_watching_birds_from_their_window_img5.png,there is a woman looking out a window at a bird
Age_An_elderly_person_watching_birds_from_their_window_img6.png,there is a woman sitting at a window looking out
Age_An_elderly_person_watching_birds_from_their_window_img7.png,there is a black and white photo of an old woman looking out a window
Age_An_older_couple_strolling_down_a_scenic_beach__img1.png,older couple walking on the beach towards the ocean
Age_An_older_couple_strolling_down_a_scenic_beach__img2.png,older couple walking on the beach holding hands
Age_An_older_couple_strolling_down_a_scenic_beach__img3.png,older couple walking on the beach holding hands
Age_An_older_couple_strolling_down_a_scenic_beach__img4.png,they are walking on the beach holding hands
Age_An_older_couple_strolling_down_a_scenic_beach__img5.png,older couple walking on the beach under a tree
Age_An_older_couple_strolling_down_a_scenic_beach__img6.png,older couple walking on a beach holding hands
Age_An_older_couple_strolling_down_a_scenic_beach__img7.png,older couple walking on the beach holding hands
Age_An_older_person_knitting_in_a_cozy_living_room__img1.png,elderly woman knitting a sweater on a couch in a living room
Age_An_older_person_knitting_in_a_cozy_living_room__img2.png,arafed woman sitting in a chair with a knitting needle
Age_An_older_person_knitting_in_a_cozy_living_room__img3.png,an older woman sitting on a couch knitting a blanket
Age_An_older_person_knitting_in_a_cozy_living_room__img4.png,elderly woman sitting on a couch holding a cane and looking at a book
Age_An_older_person_knitting_in_a_cozy_living_room__img5.png,an older woman sitting in a chair with a pair of scissors
Age_An_older_person_knitting_in_a_cozy_living_room__img6.png,an older woman sitting on a couch holding a cell phone
Age_An_older_person_knitting_in_a_cozy_living_room__img7.png,elderly woman sitting in chair holding a wooden stick in her hand
Age_An_older_person_playing_a_board_game_with_family__img1.png,three older people playing a board game together in a living room
Age_An_older_person_playing_a_board_game_with_family__img2.png,older people playing a game of board games at a table
Age_An_older_person_playing_a_board_game_with_family__img3.png,three people playing a board game together in a living room
Age_An_older_person_playing_a_board_game_with_family__img4.png,three elderly people playing a game of board games at a table
Age_An_older_person_playing_a_board_game_with_family__img5.png,three elderly people playing a game of board games on a table
Age_An_older_person_playing_a_board_game_with_family__img6.png,older woman playing a game of checkers with older woman sitting on a couch
Age_An_older_person_playing_a_board_game_with_family__img7.png,several elderly people playing a game of board games at a table
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img1.png,there is a man that is standing in the dark with a cell phone
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img2.png,arafed child riding a pink bike on a paved path
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img3.png,there is a young boy riding a bike in a park
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img4.png,a close up of a child riding a bike in a park
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img5.png,there is a young child riding a bike on a path
