Prompt Pattern,Selected Image
Age,Age.png
Age_An_adult_attending_a_yoga_class_in_a_studio,Age_An_adult_attending_a_yoga_class_in_a_studio_0.png
Age_An_adult_jogging_along_a_quiet_road,Age_An_adult_jogging_along_a_quiet_road_0.png
Age_An_adult_playing_with_their_pet_in_a_park,Age_An_adult_playing_with_their_pet_in_a_park_0.png
Age_An_adult_working_on_a_laptop_at_a_coffee_shop,Age_An_adult_working_on_a_laptop_at_a_coffee_shop_0.png
Age_An_elderly_couple_watching_a_sunset_from_their_porch,Age_An_elderly_couple_watching_a_sunset_from_their_porch_0.png
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_home,Age_An_elderly_person_enjoying_a_quiet_afternoon_at_home_0.png
Age_An_elderly_person_reading_a_newspaper_on_a_porch,Age_An_elderly_person_reading_a_newspaper_on_a_porch_0.png
Age_An_elderly_person_watching_birds_from_their_window,Age_An_elderly_person_watching_birds_from_their_window_0.png
Age_An_older_couple_strolling_down_a_scenic_beach,Age_An_older_couple_strolling_down_a_scenic_beach_0.png
Age_An_older_person_knitting_in_a_cozy_living_room,Age_An_older_person_knitting_in_a_cozy_living_room_0.png
Age_An_older_person_playing_a_board_game_with_family,Age_An_older_person_playing_a_board_game_with_family_0.png
Age_A_child_learning_to_ride_a_bicycle_in_the_park,Age_A_child_learning_to_ride_a_bicycle_in_the_park_0.png
Age_A_child_playing_in_the_snow_with_friends,Age_A_child_playing_in_the_snow_with_friends_0.png
Age_A_child_playing_with_a_ball_in_a_park,Age_A_child_playing_with_a_ball_in_a_park_0.png
Age_A_child_playing_with_toys_in_a_playroom,Age_A_child_playing_with_toys_in_a_playroom_0.png
Age_A_child_running_through_a_sprinkler_on_a_hot_day,Age_A_child_running_through_a_sprinkler_on_a_hot_day_0.png
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day,Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day_0.png
Age_A_family_taking_a_stroll_along_a_lake,Age_A_family_taking_a_stroll_along_a_lake_0.png
Age_A_middle-aged_person_cooking_in_a_spacious_kitchen,Age_A_middle-aged_person_cooking_in_a_spacious_kitchen_0.png
Age_A_middle-aged_person_doing_home_repairs,Age_A_middle-aged_person_doing_home_repairs_0.png
Age_A_middle-aged_person_reading_a_book_by_a_fireplace,Age_A_middle-aged_person_reading_a_book_by_a_fireplace_0.png
Age_A_middle-aged_person_shopping_for_groceries,Age_A_middle-aged_person_shopping_for_groceries_0.png
Age_A_middle-aged_person_volunteering_at_a_local_shelter,Age_A_middle-aged_person_volunteering_at_a_local_shelter_0.png
Age_A_middle-aged_person_working_from_home,Age_A_middle-aged_person_working_from_home_0.png
Age_A_senior_citizen_attending_a_community_event,Age_A_senior_citizen_attending_a_community_event_0.png
Age_A_senior_citizen_gardening_in_a_backyard,Age_A_senior_citizen_gardening_in_a_backyard_0.png
Age_A_senior_citizen_sitting_at_a_café_with_a_friend,Age_A_senior_citizen_sitting_at_a_café_with_a_friend_0.png
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden,Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden_0.png
Age_A_senior_person_on_a_walk_with_a_caregiver,Age_A_senior_person_on_a_walk_with_a_caregiver_0.png
Age_A_senior_person_taking_a_walk_in_the_neighborhood,Age_A_senior_person_taking_a_walk_in_the_neighborhood_0.png
Age_A_teenager_attending_a_concert_with_friends,Age_A_teenager_attending_a_concert_with_friends_0.png
Age_A_teenager_at_a_sports_event_cheering_with_friends,Age_A_teenager_at_a_sports_event_cheering_with_friends_0.png
Age_A_teenager_in_a_school_classroom_raising_their_hand,Age_A_teenager_in_a_school_classroom_raising_their_hand_0.png
Age_A_teenager_performing_a_science_experiment_in_a_lab,Age_A_teenager_performing_a_science_experiment_in_a_lab_0.png
Age_A_teenager_practicing_dance_in_a_studio,Age_A_teenager_practicing_dance_in_a_studio_0.png
Age_A_teenager_studying_in_a_library_surrounded_by_books,Age_A_teenager_studying_in_a_library_surrounded_by_books_0.png
Age_A_young_adult_attending_a_festival,Age_A_young_adult_attending_a_festival_0.png
Age_A_young_adult_at_a_job_interview_in_an_office,Age_A_young_adult_at_a_job_interview_in_an_office_0.png
Age_A_young_adult_hiking_on_a_mountain_trail,Age_A_young_adult_hiking_on_a_mountain_trail_0.png
Age_A_young_adult_on_a_road_trip_with_a_group_of_friends,Age_A_young_adult_on_a_road_trip_with_a_group_of_friends_0.png
Age_A_young_adult_walking_down_a_busy_street_with_friends,Age_A_young_adult_walking_down_a_busy_street_with_friends_0.png
Age_A_young_child_drawing_pictures_with_crayons,Age_A_young_child_drawing_pictures_with_crayons_0.png
Age_A_young_child_playing_in_a_sandbox,Age_A_young_child_playing_in_a_sandbox_0.png
Age_A_young_couple_enjoying_a_dinner_at_a_restaurant,Age_A_young_couple_enjoying_a_dinner_at_a_restaurant_0.png
Age_A_young_couple_holding_hands_at_a_park,Age_A_young_couple_holding_hands_at_a_park_0.png
Age_A_young_person_in_a_fitness_class_at_the_gym,Age_A_young_person_in_a_fitness_class_at_the_gym_0.png
Age_A_young_person_playing_an_instrument_on_stage,Age_A_young_person_playing_an_instrument_on_stage_0.png
Age_A_young_person_practicing_yoga_in_a_peaceful_studio,Age_A_young_person_practicing_yoga_in_a_peaceful_studio_0.png
Age_A_young_professional_presenting_at_a_business_meeting,Age_A_young_professional_presenting_at_a_business_meeting_0.png
Age_A_young_professional_working_in_a_modern_office,Age_A_young_professional_working_in_a_modern_office_0.png
Ethnicity,Ethnicity.png
Ethnicity_An_individual_of_African_ethnicity_enjoying_the_outdoors,Ethnicity_An_individual_of_African_ethnicity_enjoying_the_outdoors_0.png
