Image Filename,Category,Prompt,Generated Caption,Caption Alignment Score
Age_An_adult_attending_a_yoga_class_in_a_studio__img1.png,Unknown,Unknown,yoga class in a large room with a wooden floor,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img2.png,Unknown,Unknown,yoga class in a large room with a large window,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img3.png,Unknown,Unknown,yoga class in a large room with a mirror and a woman doing a yoga pose,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img4.png,Unknown,Unknown,woman sitting in a yoga pose on a blue mat,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img5.png,Unknown,Unknown,yoga class in a large room with a woman in a yoga pose,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img6.png,Unknown,Unknown,woman sitting in a yoga pose on a purple mat,1.0
Age_An_adult_attending_a_yoga_class_in_a_studio__img7.png,Unknown,Unknown,yoga class in a gym with a woman standing on one leg,1.0
Age_An_adult_jogging_along_a_quiet_road__img1.png,Unknown,Unknown,there is a man that is running down the street,1.0
Age_An_adult_jogging_along_a_quiet_road__img2.png,Unknown,Unknown,arafed man running on a road in the middle of a forest,1.0
Age_An_adult_jogging_along_a_quiet_road__img3.png,Unknown,Unknown,woman running on a path in a park with trees in the background,1.0
Age_An_adult_jogging_along_a_quiet_road__img4.png,Unknown,Unknown,arafed man running on a path in a blue shirt,1.0
Age_An_adult_jogging_along_a_quiet_road__img5.png,Unknown,Unknown,there is a woman running down a path in the middle of the day,1.0
Age_An_adult_jogging_along_a_quiet_road__img6.png,Unknown,Unknown,woman running on a paved road in a pink shirt,1.0
Age_An_adult_jogging_along_a_quiet_road__img7.png,Unknown,Unknown,there is a woman running on a road with trees in the background,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img1.png,Unknown,Unknown,woman petting a cat in a park with a green grass field,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img2.png,Unknown,Unknown,araffe sitting on the grass with a dog in his lap,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img3.png,Unknown,Unknown,there is a man kneeling down petting a dog with a leash,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img4.png,Unknown,Unknown,there is a man kneeling down with a dog in a park,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img5.png,Unknown,Unknown,there is a woman playing with a cat in the grass,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img6.png,Unknown,Unknown,araffes man with a dog in a park,1.0
Age_An_adult_playing_with_their_pet_in_a_park__img7.png,Unknown,Unknown,woman playing with a dog in a park with a leash,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img1.png,Unknown,Unknown,arafed man sitting at a table with a laptop and a cup of coffee,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img2.png,Unknown,Unknown,there is a man sitting at a table with a laptop,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img3.png,Unknown,Unknown,there is a man sitting at a table with a laptop and a cup of coffee,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img4.png,Unknown,Unknown,woman sitting at a table with a laptop computer in her lap,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img5.png,Unknown,Unknown,there is a man sitting at a table with a laptop computer,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img6.png,Unknown,Unknown,there is a man sitting at a table with a laptop and a cup of coffee,1.0
Age_An_adult_working_on_a_laptop_at_a_coffee_shop__img7.png,Unknown,Unknown,there is a man sitting at a table using a laptop,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img1.png,Unknown,Unknown,older couple sitting on bench looking out window at golf course,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img2.png,Unknown,Unknown,elderly couple sitting on porch with view of grassy field,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img3.png,Unknown,Unknown,they are sitting on the porch of their house watching the sunset,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img4.png,Unknown,Unknown,older couple sitting on a deck watching the sunset,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img5.png,Unknown,Unknown,there are two older people standing on a porch with a view of a field,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img6.png,Unknown,Unknown,older couple standing on a porch looking out over a green field,1.0
Age_An_elderly_couple_watching_a_sunset_from_their_por_img7.png,Unknown,Unknown,older couple sitting on a bench with a drink and a glass of orange juice,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img1.png,Unknown,Unknown,smiling elderly woman sitting on a couch with her laptop,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img2.png,Unknown,Unknown,an old woman sitting on a couch with a blue shirt,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img3.png,Unknown,Unknown,smiling elderly woman sitting on a couch with a remote control,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img4.png,Unknown,Unknown,smiling elderly woman sitting in a blue chair with a blue blanket,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img5.png,Unknown,Unknown,elderly woman sitting in chair in living room with open window,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img6.png,Unknown,Unknown,smiling elderly woman sitting in a chair with a yellow chair,1.0
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_ho_img7.png,Unknown,Unknown,an old woman sitting on a couch with her hands crossed,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img1.png,Unknown,Unknown,elderly woman reading newspaper sitting on ledge outside window sill,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img2.png,Unknown,Unknown,an old man sitting in a chair reading a newspaper,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img3.png,Unknown,Unknown,an old man sitting on a chair reading a newspaper,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img4.png,Unknown,Unknown,elderly woman reading a newspaper on a porch chair,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img5.png,Unknown,Unknown,elderly woman reading a newspaper outside of a brick building,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img6.png,Unknown,Unknown,araffe man reading a newspaper while sitting on a porch,1.0
Age_An_elderly_person_reading_a_newspaper_on_a_porch__img7.png,Unknown,Unknown,an old man sitting on a wooden chair reading a newspaper,1.0
Age_An_elderly_person_watching_birds_from_their_window_img1.png,Unknown,Unknown,older woman with white hair and blue sweater looking out of a doorway,1.0
