Image Filename,Category,Prompt,Generated Caption,A man,A woman,A non-binary person,A person,A child,A teenager,A young adult,An adult,A middle-aged person,An elderly person,A Black person,A White person,An Asian person,A Hispanic person,A Middle Eastern person,An Indigenous person,A mixed-race person,A person of African descent,A person of European descent,A person of East Asian descent,A person of South Asian descent,A person of Middle Eastern descent,A person of Latin American descent,A person of Native American descent,A person of Pacific Islander descent
Age_An_adult_attending_a_yoga_class_in_a_studio__img1.png,Unknown,Unknown,yoga class in a large room with a wooden floor,0.027458762750029564,0.2264624387025833,0.17969664931297302,0.566382110118866,0.03618090599775314,0.019424879923462868,0.043529026210308075,0.11108320206403732,0.7653178572654724,0.024464117363095284,0.19765910506248474,0.21461136639118195,0.17371438443660736,0.008169670589268208,0.22028334438800812,0.08635004609823227,0.099212147295475,0.04171662777662277,0.035836197435855865,0.19576343894004822,0.3446345031261444,0.09486645460128784,0.18205544352531433,0.04755178093910217,0.0575755350291729
Age_An_adult_attending_a_yoga_class_in_a_studio__img2.png,Unknown,Unknown,yoga class in a large room with a large window,0.02038961835205555,0.2710091471672058,0.2757759094238281,0.4328252971172333,0.012461106292903423,0.0135548897087574,0.03559812530875206,0.0694369524717331,0.8271293044090271,0.04181966558098793,0.192265123128891,0.49097928404808044,0.10635765641927719,0.0053525217808783054,0.10967019945383072,0.037526559084653854,0.05784865468740463,0.04615560546517372,0.050844237208366394,0.1468280553817749,0.2284080684185028,0.10880639404058456,0.2971104085445404,0.06385122239589691,0.0579959899187088
Age_An_adult_attending_a_yoga_class_in_a_studio__img3.png,Unknown,Unknown,yoga class in a large room with a mirror and a woman doing a yoga pose,0.01431437861174345,0.14916962385177612,0.184627965092659,0.6518880128860474,0.011741289868950844,0.01805770769715309,0.06841985136270523,0.0680270716547966,0.811314582824707,0.022439535707235336,0.05190832540392876,0.23998618125915527,0.2610255181789398,0.017130840569734573,0.24008576571941376,0.07292298972606659,0.11694040894508362,0.021598584949970245,0.03359980881214142,0.23983144760131836,0.3498647212982178,0.07615189999341965,0.18912813067436218,0.06227143853902817,0.027553942054510117
Age_An_adult_attending_a_yoga_class_in_a_studio__img4.png,Unknown,Unknown,woman sitting in a yoga pose on a blue mat,0.001946481759659946,0.10393787920475006,0.3458017110824585,0.5483138561248779,0.02614671364426613,0.004388669040054083,0.12383261322975159,0.10800378024578094,0.703749418258667,0.03387881815433502,0.008455293253064156,0.03465688228607178,0.055549800395965576,0.0024268708657473326,0.42536690831184387,0.07409794628620148,0.3994462490081787,0.011120482347905636,0.10906064510345459,0.10468393564224243,0.1723649948835373,0.16060303151607513,0.2749432623386383,0.15734249353408813,0.009881174191832542
Age_An_adult_attending_a_yoga_class_in_a_studio__img5.png,Unknown,Unknown,yoga class in a large room with a woman in a yoga pose,0.001443070243112743,0.08039835095405579,0.35486137866973877,0.5632971525192261,0.011286759749054909,0.005734363105148077,0.0653451532125473,0.05701984837651253,0.8477911949157715,0.012822707183659077,0.014864141121506691,0.04368213936686516,0.17425696551799774,0.009590606205165386,0.2860899269580841,0.09568247199058533,0.3758336901664734,0.009193124249577522,0.012329784221947193,0.17379964888095856,0.09977620095014572,0.047080039978027344,0.4451338052749634,0.13796363770961761,0.07472378760576248
Age_An_adult_attending_a_yoga_class_in_a_studio__img6.png,Unknown,Unknown,woman sitting in a yoga pose on a purple mat,0.006466349121183157,0.18442437052726746,0.345519483089447,0.46358978748321533,0.021416746079921722,0.006118470802903175,0.10430300980806351,0.11974969506263733,0.7179029583930969,0.030509114265441895,0.03977400064468384,0.11361223459243774,0.11472584307193756,0.005080556496977806,0.41668349504470825,0.1004137322306633,0.20971012115478516,0.02115745097398758,0.03277964890003204,0.15462826192378998,0.25155988335609436,0.10987783223390579,0.21606279909610748,0.11492948234081268,0.09900475293397903
Age_An_adult_attending_a_yoga_class_in_a_studio__img7.png,Unknown,Unknown,yoga class in a gym with a woman standing on one leg,0.0017271079123020172,0.10562081634998322,0.1324860155582428,0.7601660490036011,0.001862990204244852,0.0010306467302143574,0.011936374008655548,0.018086804077029228,0.9560371041297913,0.011046038940548897,0.04526812955737114,0.1781563013792038,0.049571964889764786,0.010451322421431541,0.21426966786384583,0.08969486504793167,0.4125877022743225,0.027859169989824295,0.05184803158044815,0.1521632820367813,0.2154512107372284,0.09127765148878098,0.2534354031085968,0.171070858836174,0.03689435124397278
Age_An_adult_jogging_along_a_quiet_road__img1.png,Unknown,Unknown,there is a man that is running down the street,0.1544516682624817,0.0029951343312859535,0.5967680811882019,0.2457851767539978,0.00031554559245705605,0.000419436430092901,0.004149768501520157,0.003883852157741785,0.619940996170044,0.37129032611846924,0.0411902591586113,0.05007791519165039,0.0668354406952858,0.1020517349243164,0.14257900416851044,0.16635285317897797,0.4309127926826477,0.027002286165952682,0.04788988456130028,0.08977384120225906,0.10800152271986008,0.06084083765745163,0.45136842131614685,0.19236284494400024,0.022760355845093727
Age_An_adult_jogging_along_a_quiet_road__img2.png,Unknown,Unknown,arafed man running on a road in the middle of a forest,0.12030194699764252,0.0026052016764879227,0.58332359790802,0.2937692701816559,0.00020220746228005737,0.00039014811045490205,0.0015043752500787377,0.00201284047216177,0.8380775451660156,0.15781287848949432,0.061130788177251816,0.04728490859270096,0.13033103942871094,0.15655705332756042,0.17044536769390106,0.23697352409362793,0.1972772777080536,0.03884199634194374,0.033793143928050995,0.1513461172580719,0.249769926071167,0.03248156979680061,0.3335292339324951,0.11182425171136856,0.04841383174061775
Age_An_adult_jogging_along_a_quiet_road__img3.png,Unknown,Unknown,woman running on a path in a park with trees in the background,0.0011456306092441082,0.04726767539978027,0.808940052986145,0.14264662563800812,0.0011859071673825383,0.0013013964053243399,0.0033872968051582575,0.0047781802713871,0.8217481374740601,0.1675991266965866,0.05546930432319641,0.03784864395856857,0.07041341811418533,0.018716277554631233,0.1501743197441101,0.4338497817516327,0.233528271317482,0.048035021871328354,0.025638815015554428,0.17115649580955505,0.21041548252105713,0.03760720044374466,0.2637578547000885,0.18979927897453308,0.053589899092912674
