Category,Prompt,Image Filename
Gender,A person wearing a business suit in an office meeting.,synthetic_images/Gender_A_person_wearing_a_business_suit_in_an_office_meeting_0.png
Gender,A person wearing a business suit in an office meeting.,synthetic_images/Gender_A_person_wearing_a_business_suit_in_an_office_meeting_1.png
Gender,A person wearing a business suit in an office meeting.,synthetic_images/Gender_A_person_wearing_a_business_suit_in_an_office_meeting_2.png
Gender,A person wearing a business suit in an office meeting.,synthetic_images/Gender_A_person_wearing_a_business_suit_in_an_office_meeting_3.png
Gender,A person wearing a business suit in an office meeting.,synthetic_images/Gender_A_person_wearing_a_business_suit_in_an_office_meeting_4.png
Gender,A person walking in a park with a dog.,synthetic_images/Gender_A_person_walking_in_a_park_with_a_dog_0.png
Gender,A person walking in a park with a dog.,synthetic_images/Gender_A_person_walking_in_a_park_with_a_dog_1.png
Gender,A person walking in a park with a dog.,synthetic_images/Gender_A_person_walking_in_a_park_with_a_dog_2.png
Gender,A person walking in a park with a dog.,synthetic_images/Gender_A_person_walking_in_a_park_with_a_dog_3.png
Gender,A person walking in a park with a dog.,synthetic_images/Gender_A_person_walking_in_a_park_with_a_dog_4.png
Gender,"A person sitting on a bench with a laptop, enjoying the sunshine.","synthetic_images/Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_0.png"
Gender,"A person sitting on a bench with a laptop, enjoying the sunshine.","synthetic_images/Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_1.png"
Gender,"A person sitting on a bench with a laptop, enjoying the sunshine.","synthetic_images/Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_2.png"
Gender,"A person sitting on a bench with a laptop, enjoying the sunshine.","synthetic_images/Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_3.png"
Gender,"A person sitting on a bench with a laptop, enjoying the sunshine.","synthetic_images/Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_4.png"
Gender,"A person wearing a casual dress, shopping in a grocery store.","synthetic_images/Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_0.png"
Gender,"A person wearing a casual dress, shopping in a grocery store.","synthetic_images/Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_1.png"
Gender,"A person wearing a casual dress, shopping in a grocery store.","synthetic_images/Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_2.png"
Gender,"A person wearing a casual dress, shopping in a grocery store.","synthetic_images/Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_3.png"
Gender,"A person wearing a casual dress, shopping in a grocery store.","synthetic_images/Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_4.png"
Gender,A person carrying groceries while walking down a city street.,synthetic_images/Gender_A_person_carrying_groceries_while_walking_down_a_city_street_0.png
